Date;Annee;Heure;Mois;Jours;Prix
2020-07-05;2020;0;July;Sunday;23,14
2020-07-05;2020;1;July;Sunday;14,83
2020-07-05;2020;2;July;Sunday;0,08
2020-07-05;2020;3;July;Sunday;-0,05
2020-07-05;2020;4;July;Sunday;-3,82
2020-07-05;2020;5;July;Sunday;-13,5
2020-07-05;2020;6;July;Sunday;-14,91
2020-07-05;2020;7;July;Sunday;-13,45
2020-07-05;2020;8;July;Sunday;-13,87
2020-07-05;2020;9;July;Sunday;-13,52
2020-07-05;2020;10;July;Sunday;-5,79
2020-07-05;2020;11;July;Sunday;0,05
2020-07-05;2020;12;July;Sunday;5
2020-07-05;2020;13;July;Sunday;0,05
2020-07-05;2020;14;July;Sunday;-7,75
2020-07-05;2020;15;July;Sunday;-19,17
2020-07-05;2020;16;July;Sunday;-13,27
2020-07-05;2020;17;July;Sunday;-5,28
2020-07-05;2020;18;July;Sunday;19,8
2020-07-05;2020;19;July;Sunday;25,22
2020-07-05;2020;20;July;Sunday;26,4
2020-07-05;2020;21;July;Sunday;26,12
2020-07-05;2020;22;July;Sunday;30,28
2020-07-05;2020;23;July;Sunday;30,04
2020-07-06;2020;0;July;Monday;26,45
2020-07-06;2020;1;July;Monday;21,35
2020-07-06;2020;2;July;Monday;17,04
2020-07-06;2020;3;July;Monday;8,39
2020-07-06;2020;4;July;Monday;8,59
2020-07-06;2020;5;July;Monday;13,11
2020-07-06;2020;6;July;Monday;22,8
2020-07-06;2020;7;July;Monday;28,27
2020-07-06;2020;8;July;Monday;28,9
2020-07-06;2020;9;July;Monday;29,1
2020-07-06;2020;10;July;Monday;30,75
2020-07-06;2020;11;July;Monday;32
2020-07-06;2020;12;July;Monday;32,51
2020-07-06;2020;13;July;Monday;32,5
2020-07-06;2020;14;July;Monday;29,46
2020-07-06;2020;15;July;Monday;28,29
2020-07-06;2020;16;July;Monday;26,79
2020-07-06;2020;17;July;Monday;28,36
2020-07-06;2020;18;July;Monday;29,05
2020-07-06;2020;19;July;Monday;34,22
2020-07-06;2020;20;July;Monday;34,51
2020-07-06;2020;21;July;Monday;35,31
2020-07-06;2020;22;July;Monday;37,23
2020-07-06;2020;23;July;Monday;36,14
2020-07-07;2020;0;July;Tuesday;33,27
2020-07-07;2020;1;July;Tuesday;28,54
2020-07-07;2020;2;July;Tuesday;27,96
2020-07-07;2020;3;July;Tuesday;27,3
2020-07-07;2020;4;July;Tuesday;27,15
2020-07-07;2020;5;July;Tuesday;27,9
2020-07-07;2020;6;July;Tuesday;33,83
2020-07-07;2020;7;July;Tuesday;37,65
2020-07-07;2020;8;July;Tuesday;37,2
2020-07-07;2020;9;July;Tuesday;35,91
2020-07-07;2020;10;July;Tuesday;34,21
2020-07-07;2020;11;July;Tuesday;35,36
2020-07-07;2020;12;July;Tuesday;39,13
2020-07-07;2020;13;July;Tuesday;39,08
2020-07-07;2020;14;July;Tuesday;36,6
2020-07-07;2020;15;July;Tuesday;34
2020-07-07;2020;16;July;Tuesday;34
2020-07-07;2020;17;July;Tuesday;35,66
